Episode,Reward,Length,Success,Collisions,Fires
58,-14.399999999999999,36,0,1,1
59,-20.90000000000003,200,0,1,0
60,-10.60000000000002,171,0,4,0
61,-20.000000000000014,200,0,0,0
62,-20.000000000000014,200,0,0,0
63,-5.199999999999962,153,0,0,0
64,-25.19999999999996,153,0,0,1
65,-20.90000000000003,200,0,1,0
66,-20.000000000000014,200,0,0,0
67,-20.000000000000014,200,0,0,0
68,-26.699999999999992,105,0,7,1
69,-13.700000000000003,38,0,0,1
70,4.400000000000004,57,1,0,0
71,-20.000000000000014,200,0,0,0
72,-23.60000000000008,200,0,4,0
73,-29.100000000000012,165,0,3,1
74,1.000000000000016,91,1,0,0
75,-20.000000000000014,200,0,0,0
76,-3.99999999999997,132,0,1,0
77,0.20000000000001883,99,1,0,0
78,2.100000000000012,80,1,0,0
79,-21.099999999999977,112,0,0,1
80,-25.999999999999964,152,0,1,1
81,-3.2999999999999687,134,0,0,0
82,5.899999999999999,42,1,0,0
83,-5.699999999999967,140,0,2,0
84,-20.900000000000013,200,0,1,0
85,4.000000000000005,61,1,0,0
86,-5.89999999999997,133,0,3,0
87,-20.900000000000013,200,0,1,0
88,-17.999999999999993,63,0,2,1
89,-20.000000000000014,200,0,0,0
90,-21.799999999999976,119,0,0,1
91,-9.899999999999999,191,0,1,0
92,-2.2999999999999723,124,0,0,0
93,-20.90000000000003,200,0,1,0
94,-1.299999999999983,87,0,3,0
95,-20.000000000000014,200,0,0,0
96,-16.499999999999993,66,0,0,1
97,-20.000000000000014,200,0,0,0
98,-20.000000000000014,200,0,0,0
99,-4.399999999999979,100,0,5,0
100,-22.700000000000063,200,0,3,0
101,-20.29999999999998,104,0,0,1
102,-20.000000000000014,200,0,0,0
103,-2.09999999999998,104,0,2,0
104,-3.6999999999999673,138,0,0,0
105,-6.5999999999999694,158,0,1,0
106,-20.000000000000014,200,0,0,0
107,-4.599999999999971,129,0,2,0
108,-22.700000000000063,200,0,3,0
109,2.2000000000000117,79,1,0,0
110,-2.4999999999999716,126,0,0,0
111,-20.000000000000014,200,0,0,0
112,-23.199999999999974,115,0,2,1
113,-2.099999999999987,86,0,4,0
114,-20.90000000000003,200,0,1,0
115,-20.000000000000014,200,0,0,0
116,-16.499999999999996,57,0,1,1
117,-0.999999999999984,93,0,2,0
118,-20.000000000000014,200,0,0,0
119,-8.899999999999988,172,0,2,0
120,-1.999999999999984,94,0,3,0
121,2.6000000000000103,75,1,0,0
122,-4.099999999999966,142,0,0,0
123,-2.4999999999999787,108,0,2,0
124,-11.70000000000001,200,0,2,0
125,3.6000000000000068,65,1,0,0
126,-7.2999999999999865,147,0,3,0
127,-24.599999999999973,120,0,3,1
128,-8.199999999999996,165,0,2,0
129,-22.700000000000042,200,0,3,0
130,-20.000000000000014,200,0,0,0
131,4.900000000000002,52,1,0,0
132,-1.7999999999999776,101,0,2,0
133,-16.499999999999996,57,0,1,1
134,-20.000000000000014,200,0,0,0
135,-16.89999999999999,70,0,0,1
136,-10.700000000000003,181,0,3,0
137,2.100000000000012,80,1,0,0
138,-17.999999999999993,63,0,2,1
139,-21.800000000000047,200,0,2,0
140,-3.8999999999999666,140,0,0,0
141,-24.49999999999997,128,0,2,1
142,5.5,46,1,0,0
143,-21.800000000000047,200,0,2,0
144,-22.799999999999976,93,0,4,1
145,-16.899999999999995,61,0,1,1
146,-24.500000000000096,200,0,5,0
147,-20.000000000000014,200,0,0,0
148,-17.69999999999999,78,0,0,1
149,-18.29999999999999,75,0,1,1
150,-20.000000000000014,200,0,0,0
151,-20.000000000000014,200,0,0,0
152,-22.699999999999974,101,0,3,1
153,1.300000000000015,88,1,0,0
154,-18.79999999999999,53,0,4,1
155,4.200000000000005,59,1,0,0
156,-9.199999999999989,184,0,1,0
157,3.6000000000000068,65,1,0,0
158,-7.2999999999999865,147,0,3,0
159,-14.5,46,0,0,1
160,-7.8999999999999915,162,0,2,0
161,-20.000000000000014,200,0,0,0
162,-22.099999999999994,59,0,7,1
163,-20.799999999999983,91,0,2,1
164,3.000000000000009,71,1,0,0
165,-33.20000000000003,152,0,9,1
166,-20.000000000000014,200,0,0,0
167,-27.59999999999998,177,0,0,1
