Episode,Reward,Length,Success,Collisions,Fires
80,-18.499999999999986,86,0,0,1
81,-21.69999999999998,100,0,2,1
82,-20.000000000000014,200,0,0,0
83,-20.000000000000014,200,0,0,0
84,-20.19999999999998,94,0,1,1
85,-20.90000000000003,200,0,1,0
86,-3.5999999999999677,137,0,0,0
87,-9.700000000000017,180,0,2,0
88,-20.000000000000014,200,0,0,0
89,-8.799999999999997,189,0,0,0
90,-17.39999999999999,75,0,0,1
91,-6.499999999999968,139,0,3,0
92,1.9539925233402755e-14,101,1,0,0
93,-20.699999999999985,90,0,2,1
94,-6.399999999999963,165,0,0,0
95,-6.4999999999999645,148,0,2,0
96,1.9539925233402755e-14,101,1,0,0
97,-15.799999999999994,41,0,2,1
98,-30.90000000000003,156,0,6,1
99,-2.3999999999999755,116,0,1,0
100,-21.800000000000043,200,0,2,0
101,6.399999999999999,37,1,0,0
102,2.100000000000012,80,1,0,0
103,-14.399999999999999,36,0,1,1
104,-7.099999999999973,172,0,0,0
105,-17.999999999999986,81,0,0,1
106,-20.000000000000014,200,0,0,0
107,-20.000000000000014,200,0,0,0
108,-26.699999999999967,141,0,3,1
109,-2.9999999999999734,122,0,1,0
110,5.6,45,1,0,0
111,-3.99999999999997,132,0,1,0
112,2.3000000000000114,78,1,0,0
113,-13.000000000000002,31,0,0,1
114,-3.6999999999999673,138,0,0,0
115,-3.7999999999999705,121,0,2,0
116,-19.299999999999983,94,0,0,1
117,5.5,46,1,0,0
118,-14.000000000000002,41,0,0,1
119,-24.099999999999977,115,0,3,1
120,-22.799999999999976,102,0,3,1
121,5.8999999999999995,33,1,1,0
122,-2.099999999999973,122,0,0,0
123,-20.90000000000003,200,0,1,0
124,-20.000000000000014,200,0,0,0
125,-22.700000000000063,200,0,3,0
126,-20.000000000000014,200,0,0,0
127,-0.8999999999999773,110,0,0,0
128,-14.6,47,0,0,1
129,-3.8999999999999666,140,0,0,0
130,-20.900000000000013,200,0,1,0
131,-23.600000000000076,200,0,4,0
132,4.200000000000005,59,1,0,0
133,-2.499999999999975,117,0,1,0
134,-4.999999999999963,151,0,0,0
135,-7.699999999999978,142,0,4,0
136,-20.000000000000014,200,0,0,0
137,-20.90000000000003,200,0,1,0
138,-20.000000000000014,200,0,0,0
139,-20.000000000000014,200,0,0,0
140,6.999999999999998,31,1,0,0
141,-19.799999999999983,99,0,0,1
142,-22.700000000000028,200,0,3,0
143,-6.499999999999961,157,0,1,0
144,1.6000000000000139,85,1,0,0
145,-20.000000000000014,200,0,0,0
146,-5.899999999999967,142,0,2,0
147,-28.399999999999977,176,0,1,1
148,-10.300000000000026,186,0,2,0
149,-0.7999999999999776,109,0,0,0
150,-9.200000000000006,139,0,6,0
151,-17.69999999999999,78,0,0,1
152,0.9000000000000163,92,1,0,0
153,-6.499999999999968,139,0,3,0
154,0.10000000000001563,91,1,1,0
155,-10.400000000000023,196,0,1,0
156,-14.200000000000001,25,0,2,1
157,-7.6999999999999815,160,0,2,0
158,-19.19999999999998,93,0,0,1
159,-3.6999999999999673,138,0,0,0
160,-20.000000000000014,200,0,0,0
161,-23.600000000000062,200,0,4,0
162,-25.400000000000084,200,0,6,0
163,-20.000000000000014,200,0,0,0
164,-11.200000000000003,195,0,2,0
165,-21.599999999999973,117,0,0,1
166,-23.60000000000008,200,0,4,0
167,-4.299999999999979,108,0,4,0
168,-20.900000000000013,200,0,1,0
