Reward,Length,Success,Collisions,Fires
8,18,1,2,0
10,9,1,0,0
10,8,1,0,0
6,75,1,4,0
-13,16,0,3,1
-11,40,0,1,1
-10,1,0,0,1
-14,32,0,4,1
-12,52,0,2,1
-10,5,0,0,1
10,19,1,0,0
8,25,1,2,0
-11,14,0,1,1
-12,93,0,2,1
8,29,1,2,0
